Model,Test_R2,Test_RMSE,CV_Mean_R2,Training_Time
Linear Regression,0.9121890343905932,3.5750656523377584,0.915070976321056,0.014000177383422852
Ridge Regression,0.9121975080209047,3.574893153861463,0.9150733965761526,0.009999752044677734
Lasso Regression,0.912189034285322,3.5750656544807216,0.9150709766777971,4.084000110626221
ElasticNet,0.9119300475257357,3.5803338631023047,0.9147118183723137,1.3550000190734863
Random Forest,0.9493008710545144,2.7165011552126472,0.9501561820644863,15.908999919891357
Gradient Boosting,0.9564384751125553,2.5180316356628096,0.9572140563131466,2.8989999294281006
